rule_id,path,repo_root,detector_verdict,detector_confidence,strong_signals,weak_signals,evidence_preview,review_priority,status,notes
PR2,trl/experimental/bco/bco_trainer.py,/home/areej/code/trl,present,high,6,0,L71: import wandb | L568: logger.warning(,low,present,L35: from accelerate import logging; L79: logger = logging.get_logger(__name__); L568+: logger.warning/info calls; optional wandb
PR2,trl/experimental/cpo/cpo_trainer.py,/home/areej/code/trl,present,high,6,0,L69: import wandb | L260: logger.warning(,low,present,L30: from accelerate import logging; L72: logger = logging.get_logger(__name__); L260+: logger.warning calls; optional wandb
PR2,trl/experimental/distillation/distillation_trainer.py,/home/areej/code/trl,present,medium,1,1,L65: import wandb | L103: console.print(panel),medium,present,L65: optional wandb import; L1683-1685: wandb.run checks when report_to includes wandb; L103: rich console.print for step samples (weak trace)
PR2,trl/experimental/orpo/orpo_trainer.py,/home/areej/code/trl,present,high,6,0,L70: import wandb | L269: logger.warning(,low,present,L76: logger = logging.get_logger(__name__); L269+: logger.warning calls; optional wandb
PR2,trl/trainer/grpo_trainer.py,/home/areej/code/trl,present,high,5,0,L106: import wandb | L301: logger.warning(,low,present,L37: from accelerate.logging import get_logger; L112: logger = get_logger(__name__); L301+: logger.warning; optional wandb
PR2,trl/trainer/rloo_trainer.py,/home/areej/code/trl,present,high,3,0,L90: import wandb | L249: logger.warning(,low,present,L33: from accelerate.logging import get_logger; L96: logger = get_logger(__name__); L249/904: logger.warning; optional wandb
PR2,trl/experimental/dppo/dppo_trainer.py,/home/areej/code/trl,absent,high,0,0,,high,unclear,Extends GRPOTrainer (L71); no local logger/wandb in this file; only comments mention logging — runtime logs likely inherited from parent
PR2,trl/experimental/ppo/ppo_trainer.py,/home/areej/code/trl,present,medium,1,3,L1019: import wandb | L173: console.print(table),medium,present,"L74: get_logger setup; L1018-1022: conditional wandb.run + wandb.log (same pattern as gold_trainer); no logger.* calls — counted present for wandb runtime trace"
PR2,trl/experimental/gold/gold_trainer.py,/home/areej/code/trl,present,medium,1,1,L66: import wandb | L155: console.print(panel),medium,present,L66: optional wandb; L2055-2068: wandb.log when report_to includes wandb; rich console for completion samples
PR2,trl/experimental/prm/prm_trainer.py,/home/areej/code/trl,present,medium,1,0,L82: logger.warning(,medium,present,L50: logger = logging.get_logger(__name__); L82: logger.warning call
PR2,trl/trainer/utils.py,/home/areej/code/trl,unclear,low,0,3,L402: >>> print(new_mask) | L406: >>> print(new_tensor),high,unclear,L34: from accelerate import logging; L69: logger = logging.get_logger(__name__) but logger never called; detector missed accelerate import and flagged docstring >>> print examples
PR2,trl/experimental/sdft/sdft.py,/home/areej/code/trl,absent,high,0,0,,high,absent,Training CLI script; wandb only in example bash comment (L55) and arg help text (L107); no runtime logging in this file — delegates to SDFTTrainer
PR2,trl/experimental/utils.py,/home/areej/code/trl,present,medium,1,0,L18: import logging,medium,present,"L18: import logging; L645: logging.warning(...) — detector found import only, missed the warning call"
PR2,trl/generation/vllm_client.py,/home/areej/code/trl,present,high,4,1,L18: import logging | L48: logger = logging.getLogger(__name__),low,present,L18/48: stdlib logging setup; L197/201: logger.info for server health/retry; clear runtime traces
PR2,trl/trainer/reward_trainer.py,/home/areej/code/trl,present,high,5,0,"L17: import logging | L129: transformers_logger = logging.getLogger(""transformers.modeling_utils"")",low,present,L17/32/62: logging + get_logger; L348/369/435: logger.warning; also logging.Filter for transformers logger
